 Óbitos de mulheres em idade fértil e óbitos maternos - Brasil
Óbitos mulheres idade fértil por Região/Unidade da Federação e Tipo causa obstétr
Período:2019
"Região/Unidade da Federação";"Morte materna obstétrica direta";"Morte materna obstétrica indireta";"Morte materna obstétrica não especificada";"Total"
"Região Norte";170;316;12;498
".. Rondônia";8;16;2;26
".. Acre";7;4;-;11
".. Amazonas";41;72;3;116
".. Roraima";10;10;1;21
".. Pará";91;187;3;281
".. Amapá";5;11;-;16
".. Tocantins";8;16;3;27
"Região Nordeste";343;663;6;1012
".. Maranhão";70;121;-;191
".. Piauí";35;30;-;65
".. Ceará";46;83;-;129
".. Rio Grande do Norte";22;35;-;57
".. Paraíba";22;37;-;59
".. Pernambuco";48;125;2;175
".. Alagoas";21;40;-;61
".. Sergipe";9;25;-;34
".. Bahia";70;167;4;241
"Região Sudeste";353;1104;23;1480
".. Minas Gerais";87;162;4;253
".. Espírito Santo";16;60;-;76
".. Rio de Janeiro";91;428;8;527
".. São Paulo";159;454;11;624
"Região Sul";88;514;18;620
".. Paraná";37;118;14;169
".. Santa Catarina";19;96;2;117
".. Rio Grande do Sul";32;300;2;334
"Região Centro-Oeste";85;188;3;276
".. Mato Grosso do Sul";14;35;1;50
".. Mato Grosso";21;64;2;87
".. Goiás";47;66;-;113
".. Distrito Federal";3;23;-;26
"Total";1039;2785;62;3886
 Fonte: MS/SVSA/CGIAE - Sistema de Informações sobre Mortalidade - SIM
 Notas:
 
 Dados finais disponíveis até 2024 - data de extração 02/12/2025.
 Dados de 2025 - Preliminares - data de extração 28/07/2026.
 Dados de 2026 - 1a prévia - data de extração 01/06/2026.
 
