 Óbitos de mulheres em idade fértil e óbitos maternos - Brasil
Óbitos mulheres idade fértil por Região/Unidade da Federação e Local ocorrência
Período:2022
"Região/Unidade da Federação";"Hospital";"Outro estabelecimento de saúde";"Domicílio";"Via pública";"Outros";"Ignorado";"Total"
"Região Norte";4368;341;1009;413;311;11;6453
".. Rondônia";446;24;96;52;29;-;647
".. Acre";174;1;56;17;14;2;264
".. Amazonas";955;13;268;77;58;1;1372
".. Roraima";202;1;40;17;34;-;294
".. Pará";2017;233;428;180;129;4;2991
".. Amapá";221;31;44;8;17;1;322
".. Tocantins";353;38;77;62;30;3;563
"Região Nordeste";12859;1347;3509;1161;921;18;19815
".. Maranhão";1595;89;403;184;112;-;2383
".. Piauí";768;15;264;76;47;1;1171
".. Ceará";1826;215;557;196;175;1;2970
".. Rio Grande do Norte";721;101;184;63;36;4;1109
".. Paraíba";907;63;275;63;67;1;1376
".. Pernambuco";2227;281;513;156;142;3;3322
".. Alagoas";846;106;197;54;61;3;1267
".. Sergipe";558;14;136;39;9;-;756
".. Bahia";3411;463;980;330;272;5;5461
"Região Sudeste";20147;2614;4128;1121;881;17;28908
".. Minas Gerais";4312;574;1149;320;223;13;6591
".. Espírito Santo";874;100;228;94;56;2;1354
".. Rio de Janeiro";4618;913;722;196;214;1;6664
".. São Paulo";10343;1027;2029;511;388;1;14299
"Região Sul";6609;449;1583;603;374;3;9621
".. Paraná";2462;231;635;255;164;-;3747
".. Santa Catarina";1510;62;388;129;91;1;2181
".. Rio Grande do Sul";2637;156;560;219;119;2;3693
"Região Centro-Oeste";3890;366;870;370;225;4;5725
".. Mato Grosso do Sul";720;41;212;90;58;1;1122
".. Mato Grosso";830;92;187;107;49;-;1265
".. Goiás";1766;158;371;135;99;3;2532
".. Distrito Federal";574;75;100;38;19;-;806
"Total";47873;5117;11099;3668;2712;53;70522
 Fonte: MS/SVSA/CGIAE - Sistema de Informações sobre Mortalidade - SIM
 Notas:
 
 Dados finais disponíveis até 2024 - data de extração 02/12/2025.
 Dados de 2025 - Preliminares - data de extração 28/07/2026.
 Dados de 2026 - 1a prévia - data de extração 01/06/2026.
 
