 Óbitos de mulheres em idade fértil e óbitos maternos - Brasil
Óbitos mulheres idade fértil por Região/Unidade da Federação e Tipo causa obstétr
Período:2022
"Região/Unidade da Federação";"Morte materna obstétrica direta";"Morte materna obstétrica indireta";"Morte materna obstétrica não especificada";"Total"
"Região Norte";153;355;11;519
".. Rondônia";6;24;-;30
".. Acre";4;2;-;6
".. Amazonas";41;66;3;110
".. Roraima";13;15;1;29
".. Pará";66;206;7;279
".. Amapá";8;24;-;32
".. Tocantins";15;18;-;33
"Região Nordeste";300;624;10;934
".. Maranhão";52;110;1;163
".. Piauí";27;37;1;65
".. Ceará";49;71;2;122
".. Rio Grande do Norte";18;32;1;51
".. Paraíba";17;36;-;53
".. Pernambuco";31;135;-;166
".. Alagoas";22;40;1;63
".. Sergipe";17;23;2;42
".. Bahia";67;140;2;209
"Região Sudeste";310;890;12;1212
".. Minas Gerais";82;123;4;209
".. Espírito Santo";15;65;-;80
".. Rio de Janeiro";76;351;3;430
".. São Paulo";137;351;5;493
"Região Sul";92;489;5;586
".. Paraná";46;109;2;157
".. Santa Catarina";18;101;1;120
".. Rio Grande do Sul";28;279;2;309
"Região Centro-Oeste";69;187;2;258
".. Mato Grosso do Sul";12;48;1;61
".. Mato Grosso";17;49;-;66
".. Goiás";33;74;-;107
".. Distrito Federal";7;16;1;24
"Total";924;2545;40;3509
 Fonte: MS/SVSA/CGIAE - Sistema de Informações sobre Mortalidade - SIM
 Notas:
 
 Dados finais disponíveis até 2024 - data de extração 02/12/2025.
 Dados de 2025 - Preliminares - data de extração 28/07/2026.
 Dados de 2026 - 1a prévia - data de extração 01/06/2026.
 
