 Óbitos por causas evitáveis em menores de 5 anos - Brasil
Óbitos p/Residênc por Região/Unidade da Federação e Causas evitáveis
Período:2025
"Região/Unidade da Federação";"1.1. Reduzível pelas ações de imunização";"1.2.1 Reduzíveis atenção à mulher na gestação";"1.2.2 Reduz por adequada atenção à mulher no parto";"1.2.3 Reduzíveis adequada atenção ao recém-nascido";"1.3. Reduz ações diagnóstico e tratamento adequado";"1.4. Reduz. ações promoção à saúde vinc. Aç. At";"2. Causas mal definidas";"3. Demais causas (não claramente evitáveis)";"Total"
"Região Norte";6;1076;384;704;546;642;67;1638;5063
".. Rondônia";-;88;15;69;27;43;1;112;355
".. Acre";-;60;26;36;37;53;3;79;294
".. Amazonas";2;275;97;152;139;191;35;455;1346
".. Roraima";3;43;18;34;59;88;1;102;348
".. Pará";1;454;194;350;216;212;26;672;2125
".. Amapá";-;68;18;33;41;22;1;79;262
".. Tocantins";-;88;16;30;27;33;-;139;333
"Região Nordeste";6;2474;793;1440;1087;843;147;3584;10374
".. Maranhão";-;368;114;163;170;138;27;521;1501
".. Piauí";-;179;51;63;58;61;13;235;660
".. Ceará";2;316;106;214;151;122;15;455;1381
".. Rio Grande do Norte";-;136;40;93;24;30;4;188;515
".. Paraíba";-;169;40;125;82;44;13;256;729
".. Pernambuco";2;387;126;159;236;179;13;624;1726
".. Alagoas";-;128;45;148;60;52;8;222;663
".. Sergipe";2;130;41;67;59;36;6;164;505
".. Bahia";-;661;230;408;247;181;48;919;2694
"Região Sudeste";13;2980;949;1588;1117;1087;156;4452;12342
".. Minas Gerais";1;686;208;441;230;230;66;1107;2969
".. Espírito Santo";1;159;46;78;52;94;1;288;719
".. Rio de Janeiro";3;643;239;297;251;285;22;818;2558
".. São Paulo";8;1492;456;772;584;478;67;2239;6096
"Região Sul";2;1210;282;417;316;365;27;1486;4105
".. Paraná";-;583;109;133;117;152;10;591;1695
".. Santa Catarina";1;274;73;125;111;101;4;403;1092
".. Rio Grande do Sul";1;353;100;159;88;112;13;492;1318
"Região Centro-Oeste";4;739;180;388;276;377;50;1225;3239
".. Mato Grosso do Sul";1;113;31;90;61;81;11;240;628
".. Mato Grosso";1;216;45;130;91;124;18;353;978
".. Goiás";2;303;83;131;97;141;20;473;1250
".. Distrito Federal";-;107;21;37;27;31;1;159;383
"Total";31;8479;2588;4537;3342;3314;447;12385;35123
 Fonte: MS/SVSA/CGIAE - Sistema de Informações sobre Mortalidade - SIM
 Notas:
 
 Dados finais disponíveis até 2024 - data de extração 02/12/2025.
 Dados de 2025 - Preliminares - data de extração 28/07/2026.
 Dados de 2026 - 1a prévia - data de extração 01/06/2026.
 
