 Óbitos por causas evitáveis em menores de 5 anos - Brasil
Óbitos p/Residênc por Região/Unidade da Federação e Faixa Etária
Período:2021
"Região/Unidade da Federação";"0 a 6 dias";"7 a 27 dias";"28 a 364 dias";"Menor 1 ano (ign)";"1 a 4 anos";"Total"
"Região Norte";2425;706;1511;-;866;5508
".. Rondônia";139;68;107;-;55;369
".. Acre";132;52;96;-;49;329
".. Amazonas";630;159;372;-;249;1410
".. Roraima";111;39;119;-;88;357
".. Pará";1126;276;618;-;314;2334
".. Amapá";134;60;105;-;47;346
".. Tocantins";153;52;94;-;64;363
"Região Nordeste";5489;1695;2869;-;1446;11499
".. Maranhão";787;249;434;-;265;1735
".. Piauí";327;105;200;-;86;718
".. Ceará";670;207;410;-;211;1498
".. Rio Grande do Norte";295;78;158;-;53;584
".. Paraíba";389;131;188;-;104;812
".. Pernambuco";864;261;442;-;223;1790
".. Alagoas";325;123;204;-;102;754
".. Sergipe";245;74;119;-;71;509
".. Bahia";1587;467;714;-;331;3099
"Região Sudeste";5623;2142;3278;3;1646;12692
".. Minas Gerais";1399;471;717;1;362;2950
".. Espírito Santo";320;100;170;-;106;696
".. Rio de Janeiro";1156;498;763;1;352;2770
".. São Paulo";2748;1073;1628;1;826;6276
"Região Sul";1781;693;954;-;573;4001
".. Paraná";679;258;406;-;212;1555
".. Santa Catarina";479;168;244;-;129;1020
".. Rio Grande do Sul";623;267;304;-;232;1426
"Região Centro-Oeste";1429;472;783;3;490;3177
".. Mato Grosso do Sul";204;87;160;-;82;533
".. Mato Grosso";388;120;225;-;159;892
".. Goiás";624;184;291;2;195;1296
".. Distrito Federal";213;81;107;1;54;456
"Total";16747;5708;9395;6;5021;36877
 Fonte: MS/SVSA/CGIAE - Sistema de Informações sobre Mortalidade - SIM
 Notas:
 
 Dados finais disponíveis até 2024 - data de extração 02/12/2025.
 Dados de 2025 - Preliminares - data de extração 28/07/2026.
 Dados de 2026 - 1a prévia - data de extração 01/06/2026.
 
