 Óbitos por causas evitáveis em menores de 5 anos - Brasil
Óbitos p/Residênc por Região/Unidade da Federação e Sexo
Período:2023
"Região/Unidade da Federação";"Masc";"Fem";"Ign";"Total"
"Região Norte";3111;2410;23;5544
".. Rondônia";193;162;-;355
".. Acre";163;136;-;299
".. Amazonas";852;638;4;1494
".. Roraima";232;203;2;437
".. Pará";1280;994;15;2289
".. Amapá";200;134;2;336
".. Tocantins";191;143;-;334
"Região Nordeste";6155;5142;101;11398
".. Maranhão";944;772;8;1724
".. Piauí";382;331;6;719
".. Ceará";815;669;20;1504
".. Rio Grande do Norte";295;215;8;518
".. Paraíba";426;360;2;788
".. Pernambuco";993;833;10;1836
".. Alagoas";385;346;7;738
".. Sergipe";335;277;9;621
".. Bahia";1580;1339;31;2950
"Região Sudeste";7373;5959;41;13373
".. Minas Gerais";1747;1391;10;3148
".. Espírito Santo";400;322;2;724
".. Rio de Janeiro";1555;1259;2;2816
".. São Paulo";3671;2987;27;6685
"Região Sul";2323;1838;13;4174
".. Paraná";978;770;7;1755
".. Santa Catarina";587;444;2;1033
".. Rio Grande do Sul";758;624;4;1386
"Região Centro-Oeste";1885;1569;9;3463
".. Mato Grosso do Sul";365;288;1;654
".. Mato Grosso";551;459;4;1014
".. Goiás";724;614;4;1342
".. Distrito Federal";245;208;-;453
"Total";20847;16918;187;37952
 Fonte: MS/SVSA/CGIAE - Sistema de Informações sobre Mortalidade - SIM
 Notas:
 
 Dados finais disponíveis até 2024 - data de extração 02/12/2025.
 Dados de 2025 - Preliminares - data de extração 28/07/2026.
 Dados de 2026 - 1a prévia - data de extração 01/06/2026.
 
