 Óbitos por causas evitáveis em menores de 5 anos - Brasil
Óbitos p/Residênc por Região/Unidade da Federação e Sexo
Período:2019
"Região/Unidade da Federação";"Masc";"Fem";"Ign";"Total"
"Região Norte";3156;2495;31;5682
".. Rondônia";185;180;2;367
".. Acre";190;125;1;316
".. Amazonas";853;632;3;1488
".. Roraima";170;156;2;328
".. Pará";1385;1084;22;2491
".. Amapá";188;159;-;347
".. Tocantins";185;159;1;345
"Região Nordeste";7041;5585;109;12735
".. Maranhão";1106;804;10;1920
".. Piauí";434;363;6;803
".. Ceará";1005;822;9;1836
".. Rio Grande do Norte";337;284;10;631
".. Paraíba";461;405;7;873
".. Pernambuco";1019;840;22;1881
".. Alagoas";436;341;4;781
".. Sergipe";347;271;10;628
".. Bahia";1896;1455;31;3382
"Região Sudeste";8137;6606;36;14779
".. Minas Gerais";1903;1531;9;3443
".. Espírito Santo";376;312;5;693
".. Rio de Janeiro";1739;1434;7;3180
".. São Paulo";4119;3329;15;7463
"Região Sul";2520;2027;12;4559
".. Paraná";1021;838;6;1865
".. Santa Catarina";595;470;3;1068
".. Rio Grande do Sul";904;719;3;1626
"Região Centro-Oeste";1858;1492;10;3360
".. Mato Grosso do Sul";299;274;-;573
".. Mato Grosso";487;398;5;890
".. Goiás";817;640;4;1461
".. Distrito Federal";255;180;1;436
"Total";22712;18205;198;41115
 Fonte: MS/SVSA/CGIAE - Sistema de Informações sobre Mortalidade - SIM
 Notas:
 
 Dados finais disponíveis até 2024 - data de extração 02/12/2025.
 Dados de 2025 - Preliminares - data de extração 28/07/2026.
 Dados de 2026 - 1a prévia - data de extração 01/06/2026.
 
