 Óbitos por causas evitáveis em menores de 5 anos - Brasil
Óbitos p/Residênc por Região/Unidade da Federação e Faixa Etária
Período:2019
"Região/Unidade da Federação";"0 a 6 dias";"7 a 27 dias";"28 a 364 dias";"1 a 4 anos";"Total"
"Região Norte";2438;670;1636;938;5682
".. Rondônia";144;55;112;56;367
".. Acre";92;39;128;57;316
".. Amazonas";669;152;420;247;1488
".. Roraima";114;29;121;64;328
".. Pará";1150;299;645;397;2491
".. Amapá";132;50;107;58;347
".. Tocantins";137;46;103;59;345
"Região Nordeste";5995;1729;3311;1700;12735
".. Maranhão";908;230;489;293;1920
".. Piauí";332;122;248;101;803
".. Ceará";834;243;503;256;1836
".. Rio Grande do Norte";290;74;183;84;631
".. Paraíba";395;123;234;121;873
".. Pernambuco";890;279;464;248;1881
".. Alagoas";344;103;212;122;781
".. Sergipe";274;125;166;63;628
".. Bahia";1728;430;812;412;3382
"Região Sudeste";6363;2478;3866;2072;14779
".. Minas Gerais";1576;510;856;501;3443
".. Espírito Santo";298;94;193;108;693
".. Rio de Janeiro";1315;513;909;443;3180
".. São Paulo";3174;1361;1908;1020;7463
"Região Sul";2090;753;1110;606;4559
".. Paraná";839;286;457;283;1865
".. Santa Catarina";529;163;250;126;1068
".. Rio Grande do Sul";722;304;403;197;1626
"Região Centro-Oeste";1516;472;866;506;3360
".. Mato Grosso do Sul";244;72;169;88;573
".. Mato Grosso";374;117;256;143;890
".. Goiás";696;218;346;201;1461
".. Distrito Federal";202;65;95;74;436
"Total";18402;6102;10789;5822;41115
 Fonte: MS/SVSA/CGIAE - Sistema de Informações sobre Mortalidade - SIM
 Notas:
 
 Dados finais disponíveis até 2024 - data de extração 02/12/2025.
 Dados de 2025 - Preliminares - data de extração 28/07/2026.
 Dados de 2026 - 1a prévia - data de extração 01/06/2026.
 
