 Óbitos por causas evitáveis em menores de 5 anos - Brasil
Óbitos p/Residênc por Região/Unidade da Federação e Faixa Etária
Período:2016
"Região/Unidade da Federação";"0 a 6 dias";"7 a 27 dias";"28 a 364 dias";"Menor 1 ano (ign)";"1 a 4 anos";"Total"
"Região Norte";2519;672;1579;-;982;5752
".. Rondônia";191;55;111;-;62;419
".. Acre";89;41;109;-;59;298
".. Amazonas";613;149;463;-;253;1478
".. Roraima";103;22;85;-;55;265
".. Pará";1203;320;634;-;435;2592
".. Amapá";141;48;95;-;50;334
".. Tocantins";179;37;82;-;68;366
"Região Nordeste";6317;1836;3352;-;1868;13373
".. Maranhão";901;236;519;-;284;1940
".. Piauí";423;132;208;-;113;876
".. Ceará";843;266;487;-;276;1872
".. Rio Grande do Norte";303;91;187;-;107;688
".. Paraíba";367;110;232;-;126;835
".. Pernambuco";966;312;543;-;303;2124
".. Alagoas";360;107;222;-;130;819
".. Sergipe";254;101;140;-;73;568
".. Bahia";1900;481;814;-;456;3651
"Região Sudeste";6616;2352;4222;3;2120;15313
".. Minas Gerais";1555;460;897;-;507;3419
".. Espírito Santo";311;117;196;-;133;757
".. Rio de Janeiro";1442;472;1075;1;466;3456
".. São Paulo";3308;1303;2054;2;1014;7681
"Região Sul";1987;755;1160;1;679;4582
".. Paraná";831;309;489;1;300;1930
".. Santa Catarina";459;144;231;-;152;986
".. Rio Grande do Sul";697;302;440;-;227;1666
"Região Centro-Oeste";1586;490;901;2;563;3542
".. Mato Grosso do Sul";266;83;199;-;128;676
".. Mato Grosso";386;109;244;1;179;919
".. Goiás";673;221;349;1;189;1433
".. Distrito Federal";261;77;109;-;67;514
"Total";19025;6105;11214;6;6212;42562
 Fonte: MS/SVSA/CGIAE - Sistema de Informações sobre Mortalidade - SIM
 Notas:
 
 Dados finais disponíveis até 2024 - data de extração 02/12/2025.
 Dados de 2025 - Preliminares - data de extração 28/07/2026.
 Dados de 2026 - 1a prévia - data de extração 01/06/2026.
 
