 Óbitos por causas evitáveis em menores de 5 anos - Brasil
Óbitos p/Residênc por Região/Unidade da Federação e Causas evitáveis
Período:2022
"Região/Unidade da Federação";"1.1. Reduzível pelas ações de imunização";"1.2.1 Reduzíveis atenção à mulher na gestação";"1.2.2 Reduz por adequada atenção à mulher no parto";"1.2.3 Reduzíveis adequada atenção ao recém-nascido";"1.3. Reduz ações diagnóstico e tratamento adequado";"1.4. Reduz. ações promoção à saúde vinc. Aç. At";"2. Causas mal definidas";"3. Demais causas (não claramente evitáveis)";"Total"
"Região Norte";5;1014;388;788;672;583;135;1769;5354
".. Rondônia";-;95;26;66;49;32;7;128;403
".. Acre";-;41;19;53;47;29;11;99;299
".. Amazonas";2;254;104;161;173;188;55;474;1411
".. Roraima";-;30;13;40;57;69;5;108;322
".. Pará";2;444;189;386;269;195;53;735;2273
".. Amapá";1;80;22;33;40;27;2;92;297
".. Tocantins";-;70;15;49;37;43;2;133;349
"Região Nordeste";3;2706;1045;1752;1150;971;189;4019;11835
".. Maranhão";1;362;167;235;188;167;30;629;1779
".. Piauí";1;206;95;65;68;59;9;282;785
".. Ceará";-;319;148;270;133;129;22;536;1557
".. Rio Grande do Norte";-;154;45;77;46;47;5;185;559
".. Paraíba";-;215;57;143;97;75;20;287;894
".. Pernambuco";-;475;138;225;183;190;24;618;1853
".. Alagoas";-;126;62;149;78;58;11;234;718
".. Sergipe";-;162;51;72;66;40;3;187;581
".. Bahia";1;687;282;516;291;206;65;1061;3109
"Região Sudeste";9;3196;1124;1859;1243;1067;183;4871;13552
".. Minas Gerais";1;773;258;437;236;208;81;1195;3189
".. Espírito Santo";-;164;43;78;86;71;-;257;699
".. Rio de Janeiro";7;672;219;362;314;295;15;949;2833
".. São Paulo";1;1587;604;982;607;493;87;2470;6831
"Região Sul";3;1181;293;485;327;395;43;1632;4359
".. Paraná";3;511;123;149;146;187;16;616;1751
".. Santa Catarina";-;250;88;170;89;96;15;425;1133
".. Rio Grande do Sul";-;420;82;166;92;112;12;591;1475
"Região Centro-Oeste";-;776;237;385;335;357;49;1301;3440
".. Mato Grosso do Sul";-;113;42;66;75;67;12;237;612
".. Mato Grosso";-;183;65;137;105;127;20;380;1017
".. Goiás";-;320;103;175;123;141;16;495;1373
".. Distrito Federal";-;160;27;7;32;22;1;189;438
"Total";20;8873;3087;5269;3727;3373;599;13592;38540
 Fonte: MS/SVSA/CGIAE - Sistema de Informações sobre Mortalidade - SIM
 Notas:
 
 Dados finais disponíveis até 2024 - data de extração 02/12/2025.
 Dados de 2025 - Preliminares - data de extração 28/07/2026.
 Dados de 2026 - 1a prévia - data de extração 01/06/2026.
 
